ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; School Type [Public School] (All Years: 2018-19): 1-Regular school 2-Special education school; Grade 12 offered [Public School] (All Years: 2018-19): Yes

School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2018-19,Web Site URL [Public School] 2018-19,Phone Number [Public School] 2018-19,School Type [Public School] 2018-19,Grade 12 offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Location City [Public School] 2018-19
SANILAC ISD SPECIAL EDUCATION SERVICES,Michigan,MI ,Sanilac County,http://www.sanilacisd.org,8106482200,2-Special education school,1-Yes,56,40,16,="0",="0",53,="0",2,="0",1,33,SANDUSKY
SANKOFA FREEDOM ACADEMY CHARTER SCHOOL,Pennsylvania,PA ,Philadelphia County,†,2152882001,1-Regular school,1-Yes,657,342,315,19,="0",2,605,21,2,8,639,Philadelphia
SANTA ANA HIGH,California,CA ,Orange County,†,7145674900,1-Regular school,1-Yes,3057,1513,1544,7,†,7,4,3023,12,4,2688,Santa Ana
SANTA ANNA SECONDARY,Texas,TX ,Coleman County,http://santaanna.netxv.net/,3253483137,1-Regular school,1-Yes,117,58,59,2,="0",80,1,30,="0",4,114,SANTA ANNA
SANTA BARBARA COUNTY SPECIAL EDUCATION,California,CA ,Santa Barbara County,http://www.sbceo.org/about_sbceo/specialed.shtml,8059644711,2-Special education school,1-Yes,105,59,46,3,†,12,†,87,3,†,65,Santa Barbara
SANTA BARBARA SENIOR HIGH,California,CA ,Santa Barbara County,http://www.sbunified.org,8059669101,1-Regular school,1-Yes,2154,1145,1009,30,4,786,33,1229,56,16,1003,Santa Barbara
SANTA CLARA COUNTY SPECIAL EDUCATION,California,CA ,Santa Clara County,http://www.sccoe.org,4084536542,2-Special education school,1-Yes,1190,788,402,6,6,206,53,508,409,2,487,San Jose
SANTA CLARA HIGH,California,CA ,Santa Clara County,http://www.santaclarahigh.org/home,4084232600,1-Regular school,1-Yes,1967,999,968,112,6,418,77,682,656,16,785,Santa Clara
SANTA CLARITA VALLEY INTERNATIONAL,CALIFORNIA,CA ,Los Angeles County,http://www.scvcharterschool.org,6617054820,1-Regular school,1-Yes,1084,622,462,92,†,591,41,322,37,1,272,Castaic
SANTA CRUZ CENTER FOR SUCCESS,Arizona,AZ ,Pinal County,†,5204662220,1-Regular school,1-Yes,33,25,8,="0",="0",="0",6,25,="0",2,–,ELOY
SANTA CRUZ COUNTY CAREER ADVANCEMENT CHARTER,CALIFORNIA,CA ,Santa Cruz County,http://www.santacruzcoe.org/student-services/career-advancement-charter/,8314665697,1-Regular school,1-Yes,106,88,18,2,1,16,1,86,†,†,5,Freedom
SANTA CRUZ COUNTY SPECIAL EDUCATION,California,CA ,Santa Cruz County,http://www.santacruz.k12.ca.us,8314665700,2-Special education school,1-Yes,94,65,29,8,="0",53,2,25,6,="0",26,Santa Cruz
SANTA CRUZ HIGH,California,CA ,Santa Cruz County,http://schs.sccs.net/,8314293960,1-Regular school,1-Yes,1142,580,562,87,3,646,26,326,49,5,362,Santa Cruz
SANTA CRUZ VALLEY UNION HIGH SCHOOL,Arizona,AZ ,Pinal County,†,5204662220,1-Regular school,1-Yes,370,200,170,4,1,26,26,308,1,4,313,ELOY
SANTA FE ENGAGE,NEW MEXICO,NM ,Santa Fe County,http://larragoite.sfps.info/,5054670310,1-Regular school,1-Yes,25,8,17,="0",="0",="0",1,23,="0",1,8,SANTA FE
SANTA FE H S,Texas,TX ,Galveston County,http://www.sfisd.org,4099273106,1-Regular school,1-Yes,1338,671,667,24,4,986,3,307,5,9,432,SANTA FE
SANTA FE HIGH,California,CA ,Los Angeles County,†,5626988121,1-Regular school,1-Yes,2156,1064,1092,5,5,116,41,1944,42,3,1646,Santa Fe Springs
SANTA FE HIGH,Missouri,MO ,Lafayette County,http://www.Santafechiefs.k12.mo.us,6606742236,1-Regular school,1-Yes,162,69,93,†,†,143,†,19,†,†,70,ALMA
SANTA FE HIGH,New Mexico,NM ,Santa Fe County,http://sfhs.sfps.info/,5054672400,1-Regular school,1-Yes,1536,779,757,13,3,285,14,1159,25,37,729,SANTA FE
SANTA FE HIGH SCHOOL,Florida,FL ,Alachua County,http://www.sbac.edu/santafe,3864621125,1-Regular school,1-Yes,1086,538,548,60,1,704,218,85,15,3,361,ALACHUA
SANTA FE HS,Oklahoma,OK ,Oklahoma County,http://edmondschools.net,4053402230,1-Regular school,1-Yes,2434,1249,1185,239,10,1217,472,243,194,59,676,Edmond
SANTA FE S PATHWAYS MID COLLEG,OKLAHOMA,OK ,Oklahoma County,http://www.santafesouth.org,4056827840,1-Regular school,1-Yes,209,83,126,11,†,26,6,166,†,†,190,Oklahoma City
SANTA FE SOUTH HS,OKLAHOMA,OK ,Oklahoma County,http://www.santafesouth.org,4056316100,1-Regular school,1-Yes,1040,523,517,10,†,25,22,976,2,5,969,Oklahoma City
SANTA FE TRAIL HIGH,Kansas,KS ,Osage County,http://www.usd434.org,8008369525,1-Regular school,1-Yes,304,171,133,9,1,271,2,14,6,1,128,Carbondale
SANTA FE UNIT SCHOOL,Tennessee,TN ,Maury County,†,9316822172,1-Regular school,1-Yes,579,290,289,4,†,537,10,21,5,2,–,Santa Fe
SANTA GERTRUDIS ACADEMY H S,Texas,TX ,Kleberg County,http://www.sgisd.net,3613845041,1-Regular school,1-Yes,355,162,193,2,="0",74,7,264,7,1,157,KINGSVILLE
SANTA MARIA H S,Texas,TX ,Cameron County,http://www.smisd.net,9565659144,1-Regular school,1-Yes,187,89,98,="0",="0",2,="0",185,="0",="0",183,SANTA MARIA
SANTA MARIA HIGH,California,CA ,Santa Barbara County,http://www.santamariahighschool.org,8059252567,1-Regular school,1-Yes,2720,1361,1359,9,2,46,13,2604,42,4,2296,Santa Maria
SANTA MONICA HIGH,California,CA ,Los Angeles County,†,3103953204,1-Regular school,1-Yes,2857,1453,1404,277,9,1153,216,992,208,2,765,Santa Monica
SANTA PAULA HIGH,California,CA ,Ventura County,http://www.santapaulaunified.org,8055254400,1-Regular school,1-Yes,1684,857,827,4,1,65,1,1609,4,†,1386,Santa Paula
SANTA RITA HIGH SCHOOL,Arizona,AZ ,Pima County,†,5202256060,1-Regular school,1-Yes,387,223,164,19,3,116,41,198,4,6,263,TUCSON
SANTA ROSA ACADEMY,CALIFORNIA,CA ,Riverside County,http://www.sra.mn,9516722400,1-Regular school,1-Yes,1556,778,778,75,5,791,64,550,65,6,384,Menifee
SANTA ROSA H S,Texas,TX ,Cameron County,http://www.santarosaisd.org,9566369800,1-Regular school,1-Yes,327,173,154,="0",="0",7,1,319,="0",="0",272,SANTA ROSA
SANTA ROSA HIGH,California,CA ,Sonoma County,†,7078903850,1-Regular school,1-Yes,1948,853,1095,148,9,872,37,765,108,9,727,Santa Rosa
SANTA ROSA HIGH,New Mexico,NM ,Guadalupe County,http://santarosacs.ss6.sharpschool.com/,5754723171,1-Regular school,1-Yes,182,106,76,="0",="0",8,="0",173,1,="0",179,SANTA ROSA
SANTA ROSA ONLINE VIRTUAL INSTRUCTION PROGRAM,Florida,FL ,Santa Rosa County,http://www.santarosa.k12.fl.us,8509817860,1-Regular school,1-Yes,38,18,20,1,="0",34,="0",3,="0",="0",6,MILTON
SANTA ROSA VIRTUAL FRANCHISE,Florida,FL ,Santa Rosa County,http://www.santarosa.k12.fl.us,8509817860,1-Regular school,1-Yes,63,18,45,7,="0",53,2,="0",="0",1,10,MILTON
SANTA ROSA VIRTUAL INSTRUCTION COURSE OFFERINGS,Florida,FL ,Santa Rosa County,http://www.santarosa.k12.fl.us/sro/,8509817860,1-Regular school,1-Yes,4,2,2,1,="0",1,1,="0",1,="0",†,MILTON
SANTA SUSANA HIGH,California,CA ,Ventura County,†,8055206800,1-Regular school,1-Yes,1046,419,627,48,†,478,13,296,209,2,253,Simi Valley
SANTA TERESA HIGH,California,CA ,Santa Clara County,†,4083476200,1-Regular school,1-Yes,2145,1102,1043,121,3,530,73,828,587,3,460,San Jose
SANTA TERESA HIGH,New Mexico,NM ,DoÃƒÂ±a Ana County,http://sths.gisd.k12.nm.us/,5058826203,1-Regular school,1-Yes,1266,669,597,†,†,47,2,1209,4,4,1266,SANTA TERESA
SANTA YNEZ VALLEY UNION HIGH,California,CA ,Santa Barbara County,http://www.syvpirates.org/,8056886487,1-Regular school,1-Yes,908,463,445,33,†,454,4,402,6,9,249,Santa Ynez
SANTALUCES COMMUNITY HIGH,Florida,FL ,Palm Beach County,http://snhs.palmbeachschools.org,5616426200,1-Regular school,1-Yes,2544,1239,1305,60,1,373,1012,1028,62,8,1818,LANTANA
SANTANA HIGH,California,CA ,San Diego County,http://sultans.guhsd.net/,6199560211,1-Regular school,1-Yes,1616,843,773,114,8,953,37,446,50,8,745,Santee
SANTEE EDUCATION COMPLEX,California,CA ,Los Angeles County,http://www.lausd.net/Santee_Ed_Complex,2137631000,1-Regular school,1-Yes,1902,1023,879,2,1,18,101,1777,3,†,1786,Los Angeles
SANTEE HIGH SCHOOL,Nebraska,NE ,Knox County,†,4028572741,1-Regular school,1-Yes,74,44,30,="0",="0",1,="0",7,="0",66,74,NIOBRARA
SANTIAGO HIGH,California,CA ,Riverside County,http://santiago.cnusd.k12.ca.us,9517395600,1-Regular school,1-Yes,3720,1899,1821,102,13,1534,168,1419,474,10,1013,Corona
SANTIAGO HIGH,California,CA ,Orange County,http://www.santiagohs.org/,7146636215,1-Regular school,1-Yes,2020,1062,958,19,11,36,1,1669,283,1,1620,Garden Grove
SANTIAM JUNIOR/SENIOR HIGH SCHOOL,Oregon,OR ,Linn County,http://santiam.k12.or.us/highschool/,5038972311,1-Regular school,1-Yes,261,139,122,18,1,215,1,19,2,5,110,Mill City
SANTO H S,Texas,TX ,Palo Pinto County,http://santoisd.net,9407693847,1-Regular school,1-Yes,258,116,142,6,="0",203,="0",47,1,1,99,SANTO
SAPULPA HS,Oklahoma,OK ,Creek County,http://www.sapulpaps.org/,9182246560,1-Regular school,1-Yes,967,507,460,156,4,527,46,92,3,139,548,Sapulpa
SARALAND HIGH SCHOOL,Alabama,AL ,Mobile County,http://www.shspartans.com,2516028970,1-Regular school,1-Yes,1050,559,491,54,="0",755,182,24,21,14,434,Saraland
SARANAC HIGH SCHOOL,New York,NY ,Clinton County,http://www.saranac.org,5185655800,1-Regular school,1-Yes,401,201,200,2,="0",386,5,7,1,="0",160,SARANAC
SARANAC JRSR HIGH SCHOOL,Michigan,MI ,Ionia County,http://www.saranac.k12.mi.us,6166421100,1-Regular school,1-Yes,408,212,196,9,="0",377,3,17,2,="0",146,SARANAC
SARANAC LAKE SENIOR HIGH SCHOOL,New York,NY ,Franklin County,http://www.slcs.org,5188914450,1-Regular school,1-Yes,349,189,160,5,="0",338,2,3,1,="0",125,SARANAC LAKE
SARASOTA HIGH SCHOOL,Florida,FL ,Sarasota County,http://www.sarasotacountyschools.net/sarasotahigh,9419550181,1-Regular school,1-Yes,2142,1092,1050,104,1,1301,143,535,54,4,960,SARASOTA
SARASOTA MILITARY ACADEMY,Florida,FL ,Sarasota County,http://www.sarasotamilitaryacademy.org,9419261700,1-Regular school,1-Yes,1378,814,564,37,="0",788,54,471,23,5,623,SARASOTA
SARASOTA VIRTUAL ACADEMY (VIRTUAL FRANCHISE),FLORIDA,FL ,Sarasota County,†,9419241365,1-Regular school,1-Yes,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,SARASOTA
SARASOTA VIRTUAL INSTRUCTION (COURSE OFFERINGS),Florida,FL ,Sarasota County,http://www.sarasotacountyschools.net,9419279000,1-Regular school,1-Yes,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,SARASOTA
SARASOTA VIRTUAL INSTRUCTION PROGRAM,Florida,FL ,Sarasota County,http://www.sarasotacountyschools.net,9419279000,1-Regular school,1-Yes,45,15,30,1,="0",35,3,6,="0",="0",3,SARASOTA
SARATOGA HIGH,California,CA ,Santa Clara County,†,4088673411,1-Regular school,1-Yes,1371,714,657,129,3,338,5,51,845,†,26,Saratoga
SARATOGA MIDDLE/HIGH SCHOOL,Wyoming,WY ,Carbon County,http://www.crb2.org/users/saratogahs/,3073265246,1-Regular school,1-Yes,124,69,55,3,="0",102,="0",15,="0",4,36,Saratoga
SARATOGA SPRINGS HIGH SCHOOL,New York,NY ,Saratoga County,http://www.saratogaschools.org,5185876690,1-Regular school,1-Yes,2073,1059,1014,38,4,1883,45,58,44,1,343,SARATOGA SPRINGS
SARCOXIE HIGH,Missouri,MO ,Jasper County,http://sarcoxie.k12.mo.us,4175482153,1-Regular school,1-Yes,439,217,222,†,7,365,4,47,3,13,290,SARCOXIE
SARDIS HIGH SCHOOL,Alabama,AL ,Etowah County,http://www.ecboe.org/sardis,2565935221,1-Regular school,1-Yes,516,266,250,12,2,443,2,52,2,3,242,Sardis City
SARGENT CENTRAL HIGH SCHOOL,North Dakota,ND ,Sargent County,http://www.sargent.k12.nd.us/,7017243205,1-Regular school,1-Yes,69,36,33,1,†,65,†,2,1,†,14,Forman
SARGENT HIGH SCHOOL,Nebraska,NE ,Custer County,†,3085274119,1-Regular school,1-Yes,81,37,44,1,="0",73,="0",6,="0",1,45,SARGENT
SARGENT SENIOR HIGH SCHOOL,Colorado,CO ,Rio Grande County,http://www.sargent.k12.co.us,7198524025,1-Regular school,1-Yes,107,60,47,2,†,69,†,33,1,2,38,MONTE VISTA
SARTELL SENIOR HIGH,Minnesota,MN ,Stearns County,†,3206560748,1-Regular school,1-Yes,1247,627,620,5,2,1146,32,21,38,3,156,SARTELL
SASAKWA HS,Oklahoma,OK ,Seminole County,http://sasaskwaschools.org,4059413250,1-Regular school,1-Yes,78,41,37,3,†,29,†,4,†,42,78,Sasakwa
SASED CENTRAL-PROJ ICAN & PACE,Illinois,IL ,Sangamon County,†,2175298849,2-Special education school,1-Yes,80,61,19,2,†,72,3,3,†,†,51,Springfield
SATANTA JR-SR HIGH,Kansas,KS ,Haskell County,http://www.usd507.org,6206492611,1-Regular school,1-Yes,152,79,73,2,†,76,†,74,†,†,104,Satanta
SATELLITE HIGH SCHOOL,Washington,WA ,King County,†,2066317630,2-Special education school,1-Yes,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,Seattle
SATELLITE SENIOR HIGH SCHOOL,Florida,FL ,Brevard County,http://www.scorpnet.brevard.k12.fl.us,3217792000,1-Regular school,1-Yes,1327,686,641,78,5,1042,30,141,28,3,238,SATELLITE BEACH
SATSUMA HIGH SCHOOL,Alabama,AL ,Mobile County,http://satsumahigh.al.sch.schoolinsites.com/,2513808190,1-Regular school,1-Yes,770,379,391,15,="0",621,94,9,12,19,277,Satsuma
SAUCON VALLEY SHS,Pennsylvania,PA ,Northampton County,†,6108387001,1-Regular school,1-Yes,740,383,357,9,="0",626,21,51,33,="0",134,Hellertown
SAUGATUCK HIGH SCHOOL,Michigan,MI ,Allegan County,†,2698572133,1-Regular school,1-Yes,285,146,139,10,="0",257,="0",13,3,2,99,SAUGATUCK
SAUGERTIES SENIOR HIGH SCHOOL,New York,NY ,Ulster County,http://www.saugerties.k12.ny.us,8452476650,1-Regular school,1-Yes,825,406,419,28,="0",674,19,85,17,2,343,SAUGERTIES
SAUGUS HIGH,Massachusetts,MA ,Essex County,http://www.saugus.k12.ma.us,7812315027,1-Regular school,1-Yes,699,358,340,5,†,505,33,122,30,3,–,Saugus
SAUGUS HIGH,California,CA ,Los Angeles County,http://www.sauguscenturions.com,6612973900,1-Regular school,1-Yes,2481,1248,1233,120,3,1258,58,827,213,2,423,Saugus
SAUK CENTRE SECONDARY,Minnesota,MN ,Stearns County,†,3203522258,1-Regular school,1-Yes,549,271,278,3,†,515,†,29,2,†,150,SAUK CENTRE
SAUK PRAIRIE HIGH,Wisconsin,WI ,Sauk County,http://www.saukprairieschools.org,6086435900,1-Regular school,1-Yes,843,416,427,19,1,721,4,86,9,3,192,Prairie du Sac
SAUK RAPIDS-RICE SENIOR HIGH,Minnesota,MN ,Benton County,http://ISD47.org,3202534700,1-Regular school,1-Yes,1375,694,681,52,2,1194,49,48,23,7,372,SAUK RAPIDS
SAULT AREA HIGH SCHOOL,Michigan,MI ,Chippewa County,http://sault.eup.k12.mi.us/saultahs/site/default.asp,9066356605,1-Regular school,1-Yes,734,381,353,5,3,446,5,10,8,257,355,SAULT SAINTE MARIE
SAUNDERS TRADES & TECHNICAL HIGH SCHOOL,New York,NY ,Westchester County,http://www.yonkerspublicschools.org,9143768150,1-Regular school,1-Yes,1109,619,490,18,="0",249,132,657,51,2,512,YONKERS
SAUQUOIT VALLEY HIGH SCHOOL,New York,NY ,Oneida County,http://www.svcsd.org,3158396316,1-Regular school,1-Yes,282,136,146,6,="0",262,3,7,3,1,99,SAUQUOIT
SAVA - SACRAMENTO ACADEMIC AND VOCATIONAL ACADEMY,CALIFORNIA,CA ,Sacramento County,http://www.gcccharters.org,9163878063,1-Regular school,1-Yes,53,27,26,="0",="0",17,9,23,2,2,46,Sacramento
SAVA - SACRAMENTO ACADEMIC AND VOCATIONAL ACADEMY - EGUSD,CALIFORNIA,CA ,Sacramento County,http://www.savacharterschool.org,9164283200,1-Regular school,1-Yes,316,167,149,11,3,47,86,149,14,6,212,Elk Grove
SAVA - SACRAMENTO ACADEMIC AND VOCATIONAL ACADEMY - SCUSD,CALIFORNIA,CA ,Sacramento County,http://www.savacharterschool.org,9163878063,1-Regular school,1-Yes,534,260,274,18,8,68,110,303,19,8,484,Sacramento
SAVAGE HIGH SCHOOL,Montana,MT ,Richland County,http://www.savagepublicschool.com,4067762317,1-Regular school,1-Yes,26,13,13,="0",="0",22,="0",1,="0",3,6,Savage
SAVANNA HIGH,California,CA ,Orange County,http://savanna.auhsd.us,7142204262,1-Regular school,1-Yes,1863,985,878,26,6,125,46,1454,204,2,1482,Anaheim
SAVANNA HS,Oklahoma,OK ,Pittsburg County,http://www.savanna.k12.ok.us/,9185483777,1-Regular school,1-Yes,193,93,100,2,†,105,†,3,3,80,102,Savanna
SAVANNAH ARTS ACADEMY,Georgia,GA ,Chatham County,†,9123955000,1-Regular school,1-Yes,949,304,645,76,="0",614,127,59,72,1,115,Savannah
SAVANNAH EARLY COLLEGE HIGH SCHOOL,GEORGIA,GA ,Chatham County,†,9123952535,1-Regular school,1-Yes,239,87,152,8,="0",20,176,30,5,="0",128,Savannah
SAVANNAH HIGH,Missouri,MO ,Andrew County,http://www.savannahr3.com,8163243128,1-Regular school,1-Yes,723,368,355,12,3,680,16,4,5,3,218,SAVANNAH
SAVOY H S,Texas,TX ,Fannin County,†,9039654024,1-Regular school,1-Yes,141,66,75,8,="0",106,2,19,3,3,62,SAVOY
SAYDEL HIGH SCHOOL,Iowa,IA ,Polk County,http://www.saydel.k12.ia.us/shs/saydelhighschool.htm,5152629325,1-Regular school,1-Yes,409,219,190,16,†,324,8,56,5,†,235,Des Moines
SAYLES SCHOOL,Connecticut,CT ,New London County,http://www.saylesschool.org,8608228264,1-Regular school,1-Yes,313,178,135,35,2,217,6,47,3,3,174,Baltic
SAYRE AREA HS,Pennsylvania,PA ,Bradford County,†,5708886622,1-Regular school,1-Yes,489,243,246,="0",1,473,7,5,3,="0",234,Sayre
SAYRE HS,Oklahoma,OK ,Beckham County,http://www.sayre.k12.ok.us,5809285576,1-Regular school,1-Yes,204,105,99,15,†,158,2,22,1,6,110,Sayre
SAYRE WILLIAM L MS,Pennsylvania,PA ,Philadelphia County,†,2154007800,1-Regular school,1-Yes,411,246,165,16,="0",3,383,7,2,="0",409,Philadelphia
SAYREVILLE WAR MEMORIAL HIGH SCHOOL,New Jersey,NJ ,Middlesex County,†,7325255252,1-Regular school,1-Yes,1808,926,882,51,6,744,318,388,296,5,1805,PARLIN
SAYVILLE HIGH SCHOOL,New York,NY ,Suffolk County,http://www.sayvilleschools.org,6312446600,1-Regular school,1-Yes,977,505,472,7,="0",878,6,61,23,2,95,WEST SAYVILLE
SC CONNECTIONS ACADEMY,South Carolina,SC ,Richland County,†,8032124712,1-Regular school,1-Yes,5507,2492,3015,327,9,3926,767,402,43,33,2138,Columbia
SC GOVERNOR'S SCHOOL FOR ARTS AND HUMANITIES,South Carolina,SC ,Greenville County,†,8642823757,1-Regular school,1-Yes,121,40,81,1,="0",90,19,5,4,2,="0",Greenville
SC GOVERNOR'S SCHOOL FOR SCIENCE AND MATHEMATICS,South Carolina,SC ,Darlington County,†,8433833902,1-Regular school,1-Yes,281,139,142,="0",3,191,30,="0",54,3,="0",Hartsville
SC SCHOOL FOR THE BLIND HIGH,South Carolina,SC ,Spartanburg County,†,8645777600,2-Special education school,1-Yes,22,13,9,="0",="0",11,9,2,="0",="0",–,Spartanburg
SC SCHOOL FOR THE DEAF HIGH,South Carolina,SC ,Spartanburg County,†,8645777811,2-Special education school,1-Yes,24,8,16,3,="0",7,13,1,="0",="0",–,Spartanburg
SC WHITMORE SCHOOL,South Carolina,SC ,Richland County,†,8034766416,1-Regular school,1-Yes,417,184,233,24,="0",306,60,22,4,1,133,Columbia
SCALE LEADERSHIP ACADEMY,CALIFORNIA,CA ,Los Angeles County,http://www.scaleacademy.org,8883154660,1-Regular school,1-Yes,291,191,100,48,†,17,129,91,2,4,207,Acton
SCALE LEADERSHIP ACADEMY - EAST,CALIFORNIA,CA ,Riverside County,http://www.scaleacademy.org,8883154660,1-Regular school,1-Yes,65,56,9,7,21,2,26,9,="0",="0",44,Blythe
SCALES MOUND HIGH SCHOOL,Illinois,IL ,Jo Daviess County,†,8158452215,1-Regular school,1-Yes,69,37,32,4,†,64,†,†,1,†,21,Scales Mound
SCAMMON BAY SCHOOL,Alaska,AK ,Kusilvak Census Area,http://www.lysd.org/,9075582000,1-Regular school,1-Yes,208,106,102,="0",="0",="0",="0",="0",="0",208,215,Scammon Bay
SCAPPOOSE HIGH SCHOOL,Oregon,OR ,Columbia County,http://www.scappoosek12.org/shs,9712008005,1-Regular school,1-Yes,729,369,360,29,5,591,8,64,15,17,191,Scappoose
SCARBOROUGH H S,Texas,TX ,Harris County,http://www.houstonisd.org,7136132200,1-Regular school,1-Yes,754,401,353,5,1,25,144,573,5,1,695,HOUSTON
SCARBOROUGH HIGH SCHOOL,Maine,ME ,Cumberland County,†,2077305000,1-Regular school,1-Yes,1002,532,470,†,11,925,19,6,41,†,148,Scarborough
SCARSDALE SENIOR HIGH SCHOOL,New York,NY ,Westchester County,http://www.scarsdaleschools.org,9147212450,1-Regular school,1-Yes,1530,767,763,85,1,1047,22,119,255,1,="0",SCARSDALE
SCHALMONT HIGH SCHOOL,New York,NY ,Schenectady County,http://www.schalmont.org,5183556110,1-Regular school,1-Yes,638,337,301,22,="0",561,11,33,10,1,159,SCHENECTADY
SCHAUMBURG HIGH SCHOOL,Illinois,IL ,Cook County,†,8477554610,1-Regular school,1-Yes,2095,1095,1000,84,2,1017,115,488,386,3,687,Schaumburg
SCHENCK HIGH SCHOOL,Maine,ME ,Penobscot County,†,2077463511,1-Regular school,1-Yes,115,59,56,†,†,113,†,2,†,†,64,East Millinocket
SCHENECTADY HIGH SCHOOL,New York,NY ,Schenectady County,http://www.schenectady.k12.ny.us,5188812044,1-Regular school,1-Yes,2710,1349,1361,49,3,657,947,463,587,4,1901,SCHENECTADY
SCHENEVUS CENTRAL SCHOOL,New York,NY ,Otsego County,http://www.schenevuscs.org,6076385881,1-Regular school,1-Yes,356,187,169,6,†,334,7,9,†,†,175,SCHENEVUS
SCHLEY MIDDLE HIGH SCHOOL,Georgia,GA ,Schley County,†,2299370560,1-Regular school,1-Yes,703,365,338,19,="0",522,111,42,9,="0",346,Ellaville
SCHNEE LEARNING CENTER,Ohio,OH ,Summit County,http://www.cfalls.org/school_home.aspx?schoolID=12,3309221966,1-Regular school,1-Yes,82,48,34,3,="0",75,1,3,="0",="0",52,Cuyahoga Falls
SCHOHARIE HIGH SCHOOL,New York,NY ,Schoharie County,http://www.schoharieschools.org,5182956601,1-Regular school,1-Yes,384,195,189,12,="0",364,3,3,2,="0",158,SCHOHARIE
SCHOLARS' ACADEMY,New York,NY ,Queens County,http://www.scholarsnyc.com,7184746918,1-Regular school,1-Yes,1348,587,761,10,8,563,232,264,252,19,635,ROCKAWAY PARK
SCHOOL 58-WORLD OF INQUIRY SCHOOL,New York,NY ,Monroe County,http://www.rcsdk12.org,5853256170,1-Regular school,1-Yes,910,457,453,6,="0",100,590,179,32,3,679,ROCHESTER
SCHOOL 7-OCEANSIDE SENIOR HIGH SCHOOL,New York,NY ,Nassau County,http://www.oceansideschools.org,5166787526,1-Regular school,1-Yes,1752,884,868,40,1,1303,37,309,59,3,337,OCEANSIDE
SCHOOL FOR ADVANCED STUDIES,FLORIDA,FL ,Miami-Dade County,http://sas.dadeschools.net,3052370510,1-Regular school,1-Yes,124,36,88,1,="0",6,2,111,4,="0",72,DORAL
SCHOOL FOR ADVANCED STUDIES - SOUTH,Florida,FL ,Miami-Dade County,http://sas.dadeschools.net,3052370510,1-Regular school,1-Yes,247,98,149,4,="0",31,1,192,19,="0",107,MIAMI
SCHOOL FOR ADVANCED STUDIES HOMESTEAD,Florida,FL ,Miami-Dade County,http://sas.dadeschools.net,3052375062,1-Regular school,1-Yes,123,64,59,="0",="0",17,15,87,4,="0",66,HOMESTEAD
SCHOOL FOR ADVANCED STUDIES NORTH,Florida,FL ,Miami-Dade County,http://sas.dadeschools.net,3052371089,1-Regular school,1-Yes,124,38,86,="0",="0",8,47,64,5,="0",71,MIAMI
SCHOOL FOR ADVANCED STUDIES-WOLFSON,Florida,FL ,Miami-Dade County,http://sas.dadeschools.net,3052377270,1-Regular school,1-Yes,126,48,78,4,="0",32,11,77,2,="0",59,MIAMI
SCHOOL FOR ARTS AND PERFORMANCE,Wisconsin,WI ,Waukesha County,http://www.kmsd.edu/kmperform,2629686273,1-Regular school,1-Yes,143,32,111,1,†,126,1,12,3,†,24,Wales
SCHOOL FOR BLIND HIGH,Kansas,KS ,Wyandotte County,http://www.kssb.net,9133053000,2-Special education school,1-Yes,23,17,6,2,="0",16,1,3,1,="0",8,Kansas City
SCHOOL FOR CLASSICS HIGH SCHOOL,New York,NY ,Kings County,†,7182771069,1-Regular school,1-Yes,266,123,143,5,5,12,115,99,26,4,244,BROOKLYN
SCHOOL FOR CREAT & PERF ARTS HIGH SCHOOL,Ohio,OH ,Hamilton County,†,5133638000,1-Regular school,1-Yes,1336,405,931,118,="0",413,750,40,14,1,657,Cincinnati
SCHOOL FOR DEAF HIGH,Kansas,KS ,Johnson County,http://www.ksdeaf.org,9132108111,2-Special education school,1-Yes,54,30,24,5,†,20,9,13,6,1,25,Olathe
